text,label
"""đen khánh vãi nhớ dai vl""",0
"""nguyễn đình anh tởm vl""",1
"chơi với thằng nào cũng được,trừ thằng tàu cộng ra,ok",1
"""bà đos có khối tài sản triệu đô""",0
đơm chết mẹ nó liền :)),1
ba sắp được nút bạc thưa 2 chưa?,0
trường giang nói mới tỉnh ra bạn à. chứ đâu ai ác như chị nhung bạn nói chết bh mới là mấy người xung quanh kìa haha.,1
e đâu biết chị minh hiếu là ai đâu...sao m xạo lồn quá vậy cđl,1
tội nghiệp con này nghiệp nó nặng quá nó chết hết đầu thai,1
"""đụ ad sẽ thành fan cứng""",1
"""cl cũng có ngoan vcc cứng vl""",1
thật tàn độc!!!!,0
"""lực thân thiện melywin uy tín và xanh chín ai còn thức vào hết đây nào anh em bơm xả mely siêu tốc cùng anh dung dn shoptn gọi ngay""",0
quần què là có thật à. :)))),1
"""link thì eo đưa cứ xàm vl""",1
đủ vui chưa bro ?,0
"chao nha bao tho ta vh lan,chao nha tau hai tran dan ba soc.",0
- cả 2 cũng chỉ ngu như nhau thoii khỏi so sánh :)),1
"""đm buồn ói vl""",1
yêu cô gê á,0
"nguyễn diệu ái thì hồi xưa đã chào kiểu thân thiện vậy rồi, thế mà ng khác bảo mình bậy bah",0
>>>>>>>>>>>>>>>>>>>>>,0
ma no,1
thế máy tính ở đâu mà macro :)) ạ,0
"""uyên phương giận vl""",1
"1000 năm đô hộ giặc tàu, 100 năm đô hộ giặc tây, 20 năm nội chiến từng ngày. đất nước tôi",0
thằng nào ko bầu chọn thầy bắn cm hết,1
"""cán bộ chúng mày lương cao tham nhũng đc nhiều tỉ cho nên có tăng tiền điện nên vài trăm ngàn một tháng cũng chẳng nhằm nhò gì nhưng đối với dân đen thì mất đi là nhiều thứ trong sinh hoạt đấy thằng ngu""",1
"có liên quan chứ thằng ngu, đóng thuế môi trường cao mà khí hậu vẫn ô nhiễm , do chính quyền quản lý xử phạt yếu kém nên bọn xã thải mới lộng hành, tiền thuế thì nó ăn hết, k phục vụ bảo vệ môi trg",1
"""kim nghi biển muối vl""",0
tks thầy nha,0
có sao dùng thế,0
bơ-phẹt,0
"""mấy cái báo nhảm giờ lấy ảnh chỗ khác có cá mập song cx đăng thế bay cx share chửi họ ak ngu vcl""",1
xem bực mình thêm,1
để bố xọc chết con mẹ nó,1
"đm nứng lòn ghê dị hà, ngta đánh đôi 3 đi đánh đôi heo, dừa lòn",1
trần công luận đem đi tử hình cho nó lẹ phạt chi cho nó mệt,1
k-icm là ca sĩ? diễn viên hay ca sĩ?,0
"""ông ngoại tao để chân đbp ông tao vẫn sống và vẫn kể về thời hào hùng của ông đứa nào bảo ông tao chém tao đấm sml""",1
trần nhật  m đọc lại cmt xem t ns đúng hay sai mà m ns t như con bò ở quê m,1
‍,0
nguyễn quốc an cà khịa hay,0
"hậu quả cuộc nhồi sọ kinh khủng lắm, sẽ có những thành phần bay vào đây cắn ad đấy =)), mình cũng đã bị nhồi như thế và cũng may gia đình mình là miền nam rặt nên mình dễ dàng thoát ra được nên mình hiểu. khi mà các tổ chức có chung mục đích ko thể liên kết với nhau thì còn lâu lắm mới tìm lại được nền cộng hoà ngày ấy",1
"""huân hoàng nguyễn lê nghe đồn đang định lăn""",0
dân có ai chọn chắc thần kinh có vấn đề,1
nghe giọng lứng quá abe,1
"""nguyễn đức gia bảo vl""",0
cũng may là nữa đêm chứ ngay giờ cao điểm thì rút kinh nghiệm ngu cmn người :v,1
"""ngọc bách ngta bl như thế mà mày nghe đéo hiểu""",1
"""stan loona sở thích ad giống mình vl cíu""",1
"""đường tô hiệu quận tân phú""",0
xàm lồn quá thằng bóng ơi,1
"chế độ tốt sinh ra con người tốt . hết xả súng da đen , trẻ em , cs mỹ lại làm 3 cái trò này ..",1
tăng lương cho edit abe ơi :)))),0
"""báo nói phet gà to vậy lần chỉ lấy con là căng lằn chỉ lấy con ông nội nhà mày củng ko vác đuọc tổ cha thằng nhà báo nói phét""",1
j thế ?,0
phe khoang qua ma oi,0
"dương trần cm thế thì tiền thuốc men lại đổ xuống sông xuống bể, lại còn tặng thêm tin cho lũ phản động xuyên tạc",1
"về cơ bản làm cán bộ ở vn dễ vl ra ấy cứ việc nghĩ ra ý kiến linh tinh giống như việc cải cách giáo dục thi đại học ,đề nghị giảm học phí cho con e ca , ngực lép ko lái xe , hay bộ y tế đề nghị thay áo blu , giờ thì bình chữa cháy v .v và v cứ nêu vd ra nếu dân ko có ý kiến gì thì làm nếu chửi cho thì lại thôi éo cần phải động não",1
"""có biển số xe mà nhờ các cụ tinh mắt nhanh tay xem tuệ này đâu chúng tưởng mình là ai chứ con chó ỉa cọ tìm chỗ giấu phân""",1
"- lần này ông già mang đi tận 5 vali tiền cô chú ạ, kh cần phải lo đâu.",0
"ừ, tập trận nhiều vào, khi nào nhờ quân mỹ lấy đc bãi cạn thì post lên nhé",0
"bố này bênh tầu cộng và chống lại nhân dân hk đây. chả thế mà lại kêu gọi không can thiệp khi cảnh sát trung cộng xịt vòi rồng, bắn đạn hơi cay vào dân hk . kêu gọi k can thiệp khi trung cộng dày xéo lên nền dân chủ của người hk .... túm lại là đang ủng hộ bạo quyền",1
nguyễn long vlin thật lun á bọn vô ý thức,1
"""bây giờ nhiều thể loại tha cả bỉm cứt của con đến tận quán hát để biêú gái thiếu mấy con phò này thì bia nó nhạt mồm nhạt miệng tay chân ngứa ngáy xem thường vợ con nhà thì mồm cứ nói lèo lèo như nước nhớt cũng một cái chết mà chết nhục chết nhã mang tiếng để đời cho bay chết mẹ bây hết đi khổ vợ khổ con""",1
"""tao nhớ bên thuỳ trang nguyễn bên mình tìm nguoi cứu con này ra mà sao giờ chửi nhu chó vậy""",1
"""ko phải nói thích ăn thịt chó mà""",0
"""tiền của bạn phải thuộc về bạn đó là trách nhiệm của chúng tôi ai cần alo nhé""",0
"""tiếc nó có phúc có đứa bạn thân tốt như mình nhưng nó chê mình chẳng khác gì con chó""",1
mày đéo xứng đáng làm người dân nam định,1
"nếu vậy lên báo chí nhỉ, sao ko ém luôn?? ở anh hay mỹ cũng có mấy ông nội vì lợi ích cá nhân mà ảnh hưởng người dân, sao thằng chó ad này ko bảo cocc?? hay thằng ad này phản động theo thằng mỹ",1
như con bóng dạ.:)),1
cực kỳ thuyết phục,0
phát thịnh thầy tui như thằng xì ke.,1
lê thuần triệu official bóng dơ này bán đồ giả nhe bạn nó khịa minh hiếu nên fan tag minh hiếu vào nhé,1
ngo boingoc giống bên úc lợn. tự cách ly nên mới có chuyện dương tính vẫn đi siêu thị shopping. đang chờ kqua xét nghiệm vẫn đi hoà nhạc  vl dân chủ. nghĩ nó chán,1
"""tran thanh sang mua tặng mỗi đứa cái nha tao size xl""",0
k phải anti nhưng sao mình thấy nhạc của jack k hay ta? ngấm k nổi,0
nguyễn thiên ngọc không hay hơn mấy bài trước :)),0
trần bắc hà cũng chết trong tù đó!,1
sa sỉ phẩm k đánh thuế mạnh thì để làm ccc gì :v,1
"""bình bình chị bị ung thư anh vẫn kề cạnh chăm sóc thấy chị tự ti anh cũng cạo đi mái tóc của mình cuộc đời có phải chỉ cần một người bên cạnh mình mọi lúc khó khăn gian khó vầy là đủ rồi không nguồn""",0
"""phạm thái tú uyên định mệnh""",0
ai cung dich corona sau con nho nay khong bi vay ta do khung,1
